asset_path,original_file,category,recommended_route_or_cms_slug,recommended_usage,priority,notes
/assets/client-smc/smc-reception-hero.jpg,KakaoTalk_20260703_112942598_06.jpg,brand_space,/ko home Page home; /ko/about Page about,Home hero or About top visual,1,SMC reception desk; strong brand presence
/assets/client-smc/smc-signage-corridor.jpg,KakaoTalk_20260703_113026774_08.jpg,brand_space,/ko/about Page about; /ko/contact Page contact,About/Contact brand location proof,1,Use as actual location/signage image
/assets/client-smc/smc-lobby-sofa.jpg,KakaoTalk_20260703_113026774_05.jpg,facility,/ko/about Page about; /ko/contact Page contact,Lobby/facility section,2,Shows clean waiting area
/assets/client-smc/training-room-beds-wide.jpg,KakaoTalk_20260703_113026774_01.jpg,facility,/ko/curriculum Page curriculum; Course 취업전문과정,Training-room proof,1,Good wide classroom image
/assets/client-smc/training-room-beds-angle.jpg,KakaoTalk_20260703_113026774_02.jpg,facility,/ko/curriculum Page curriculum; Course 강사과정교육,Practical training environment,2,Alternate classroom angle
/assets/client-smc/awards-books-consulting-room.jpg,KakaoTalk_20260703_113026774_10.jpg,trust,/ko/about Page about; Activity awards,Trust indicators section,1,Trophies/books/certificates in one frame
/assets/client-smc/global-competition-hall-wide.jpg,KakaoTalk_20260703_113016281_24.jpg,activity,Activity competition; Activity photo,International competition hero/card,1,Large-scale event proof
/assets/client-smc/competition-award-stage.jpg,KakaoTalk_20260703_113016281_25.jpg,activity,Activity awards; Activity competition,Award/success story post,1,Stage award photo
/assets/client-smc/global-judges-group-stage.jpg,KakaoTalk_20260703_113016281_22.jpg,activity,Activity competition; About history,Judges/global activity proof,1,Strong group image with event banner
/assets/client-smc/k-beauty-master-certificate.jpg,KakaoTalk_20260703_113016281_07.jpg,certification,Activity awards; Activity pass,Certification/appointment image,2,Check personal info before public use
/assets/client-smc/mou-leadership-table.jpg,KakaoTalk_20260703_113129095.jpg,partnership,/ko/partner-inquiry Page partner-inquiry; /ko/about/greeting,Partnership CTA or greeting page,1,Newest MOU imagery
/assets/client-smc/mou-handshake.jpg,KakaoTalk_20260703_113129095_04.jpg,partnership,Activity media; /ko/partner-inquiry,Partnership record,1,Formal handshake visual
/assets/client-smc/chairman-profile-seated.jpg,KakaoTalk_20260703_113129095_06.jpg,profile,/ko/about/greeting,Chairman/profile image,1,Clean seated portrait
/assets/client-smc/chairman-profile-arms.jpg,KakaoTalk_20260703_113129095_07.jpg,profile,/ko/about/greeting,Alternate profile image,2,Clean standing portrait
/assets/client-smc/president-speech.jpg,KakaoTalk_20260703_113016281_08.jpg,profile_activity,Activity media; About greeting,Speech/leadership image,2,Good for media or greeting content
/assets/client-smc/facial-skincare-device.jpg,KakaoTalk_20260703_113000417_03.jpg,course,Course 메디컬-스킨케어; Course 피부미용사,Course card/detail hero,1,Skin care device and face treatment
/assets/client-smc/aroma-spa-therapy.jpg,KakaoTalk_20260703_112950748.jpg,course,Course 아로마-마사지; Course 스파-테라피,Course card/detail hero,1,Spa/aroma treatment image
/assets/client-smc/practical-massage-training.jpg,KakaoTalk_20260703_113016281_03.jpg,course,Course 경락-마사지; Course 카이로프랙틱,Practical training image,1,Instructor/student practice scene
/assets/client-smc/sports-massage-practice.jpg,KakaoTalk_20260703_113000417.jpg,course,Course 스포츠-마사지,Course card/detail hero,1,Sports massage practice image
/assets/client-smc/spa-hands-closeup.jpg,KakaoTalk_20260703_112950748_01.jpg,course,Course 스파-테라피; Course 아로마-마사지,Detail section supporting image,2,Close-up with no face
/assets/client-smc/meridian-chart-reference.jpg,KakaoTalk_20260703_113007658.jpg,course_reference,Course 경락-마사지; Course 얼굴축소경락,Theory/reference section,3,Low visual polish; use only as explanatory figure
